time,value
2022-08-16 11:00:25,32.0
2022-08-16 11:02:25,32.0
2022-08-16 11:04:25,31.0
2022-08-16 11:06:25,31.0
2022-08-16 11:08:25,40.0
2022-08-16 11:10:25,40.0
2022-08-16 11:12:26,27.0
2022-08-16 11:14:25,27.0
2022-08-16 11:16:25,38.0
2022-08-16 11:18:25,38.0
2022-08-16 11:20:25,26.0
2022-08-16 11:22:26,26.0
2022-08-16 11:24:25,30.0
2022-08-16 11:26:25,30.0
2022-08-16 11:28:25,32.0
2022-08-16 11:30:25,32.0
2022-08-16 11:32:25,20.0
2022-08-16 11:34:25,20.0
2022-08-16 11:36:25,26.0
2022-08-16 11:38:25,26.0
2022-08-16 11:40:25,30.0
2022-08-16 11:42:25,30.0
2022-08-16 11:44:25,27.0
2022-08-16 11:46:25,27.0
2022-08-16 11:48:25,28.0
2022-08-16 11:50:25,28.0
2022-08-16 11:52:26,31.0
2022-08-16 11:54:25,31.0
2022-08-16 11:56:25,30.0
2022-08-16 11:58:25,30.0
2022-08-16 12:00:26,31.0
2022-08-16 12:02:25,31.0
2022-08-16 12:04:29,29.0
2022-08-16 12:06:25,29.0
2022-08-16 12:08:28,28.0
2022-08-16 12:10:27,28.0
2022-08-16 12:12:25,28.0
2022-08-16 12:14:27,28.0
2022-08-16 12:16:25,19.0
2022-08-16 12:18:26,19.0
2022-08-16 12:20:25,29.0
2022-08-16 12:22:25,29.0
2022-08-16 12:24:28,30.0
2022-08-16 12:26:25,30.0
2022-08-16 12:28:26,34.0
2022-08-16 12:30:25,34.0
2022-08-16 12:32:25,31.0
2022-08-16 12:34:27,31.0
2022-08-16 12:36:26,30.0
2022-08-16 12:38:27,30.0
2022-08-16 12:40:25,24.0
2022-08-16 12:42:25,24.0
2022-08-16 12:44:27,34.0
2022-08-16 12:46:25,34.0
2022-08-16 12:48:29,27.0
2022-08-16 12:50:29,27.0
2022-08-16 12:52:25,27.0
2022-08-16 12:54:28,27.0
2022-08-16 12:56:25,33.0
2022-08-16 12:58:26,33.0
2022-08-16 13:00:25,29.0
2022-08-16 13:02:25,29.0
2022-08-16 13:04:27,42.0
2022-08-16 13:06:25,42.0
2022-08-16 13:08:28,32.0
2022-08-16 13:10:25,32.0
2022-08-16 13:12:25,19.0
2022-08-16 13:14:26,19.0
2022-08-16 13:16:25,28.0
2022-08-16 13:18:28,28.0
2022-08-16 13:20:25,27.0
2022-08-16 13:22:25,27.0
2022-08-16 13:24:26,21.0
2022-08-16 13:26:25,21.0
2022-08-16 13:28:27,21.0
2022-08-16 13:30:25,21.0
2022-08-16 13:32:26,23.0
2022-08-16 13:34:28,23.0
2022-08-16 13:36:25,20.0
2022-08-16 13:38:27,20.0
2022-08-16 13:40:27,25.0
2022-08-16 13:42:25,25.0
2022-08-16 13:44:26,32.0
2022-08-16 13:46:25,32.0
2022-08-16 13:48:25,25.0
2022-08-16 13:50:27,25.0
2022-08-16 13:52:25,28.0
2022-08-16 13:54:27,28.0
2022-08-16 13:56:25,21.0
2022-08-16 13:58:27,21.0
2022-08-16 14:00:25,33.0
2022-08-16 14:02:25,33.0
2022-08-16 14:04:27,26.0
2022-08-16 14:06:25,26.0
2022-08-16 14:08:27,34.0
2022-08-16 14:10:25,34.0
2022-08-16 14:12:25,35.0
2022-08-16 14:14:25,35.0
2022-08-16 14:16:26,33.0
2022-08-16 14:18:27,33.0
2022-08-16 14:20:27,43.0
2022-08-16 14:22:25,43.0
2022-08-16 14:24:26,31.0
2022-08-16 14:26:25,31.0
2022-08-16 14:28:29,17.0
2022-08-16 14:30:27,17.0
2022-08-16 14:32:25,30.0
2022-08-16 14:34:27,30.0
2022-08-16 14:36:25,33.0
2022-08-16 14:38:26,33.0
2022-08-16 14:40:28,40.0
2022-08-16 14:42:25,40.0
2022-08-16 14:44:28,24.0
2022-08-16 14:46:25,24.0
2022-08-16 14:48:29,23.0
2022-08-16 14:50:28,23.0
2022-08-16 14:52:26,42.0
2022-08-16 14:54:29,42.0
2022-08-16 14:56:25,24.0
2022-08-16 14:58:25,24.0
2022-08-16 15:00:29,28.0
2022-08-16 15:02:26,28.0
2022-08-16 15:04:30,39.0
2022-08-16 15:06:25,39.0
2022-08-16 15:08:26,33.0
2022-08-16 15:10:27,33.0
2022-08-16 15:12:25,35.0
2022-08-16 15:14:28,35.0
2022-08-16 15:16:25,30.0
2022-08-16 15:18:29,30.0
2022-08-16 15:20:28,28.0
2022-08-16 15:22:25,28.0
2022-08-16 15:24:28,23.0
2022-08-16 15:26:25,23.0
2022-08-16 15:28:26,35.0
2022-08-16 15:30:25,35.0
2022-08-16 15:32:25,32.0
2022-08-16 15:34:27,32.0
2022-08-16 15:36:25,31.0
2022-08-16 15:38:28,31.0
2022-08-16 15:40:25,28.0
2022-08-16 15:42:25,28.0
2022-08-16 15:44:25,37.0
2022-08-16 15:46:26,37.0
2022-08-16 15:48:27,44.0
2022-08-16 15:50:28,44.0
2022-08-16 15:52:25,26.0
2022-08-16 15:54:28,26.0
2022-08-16 15:56:26,30.0
2022-08-16 15:58:28,30.0
2022-08-16 16:00:28,36.0
2022-08-16 16:02:25,36.0
2022-08-16 16:04:27,38.0
2022-08-16 16:06:25,38.0
2022-08-16 16:08:26,30.0
2022-08-16 16:10:27,30.0
2022-08-16 16:12:25,35.0
2022-08-16 16:14:27,35.0
2022-08-16 16:16:25,24.0
2022-08-16 16:18:26,24.0
2022-08-16 16:20:26,30.0
2022-08-16 16:22:25,30.0
2022-08-16 16:24:28,32.0
2022-08-16 16:26:25,32.0
2022-08-16 16:28:27,22.0
2022-08-16 16:30:27,22.0
2022-08-16 16:32:25,22.0
2022-08-16 16:34:29,22.0
2022-08-16 16:36:25,31.0
2022-08-16 16:38:27,31.0
2022-08-16 16:40:26,32.0
2022-08-16 16:42:25,32.0
2022-08-16 16:44:27,25.0
2022-08-16 16:46:25,25.0
2022-08-16 16:48:27,18.0
2022-08-16 16:50:26,18.0
