time,value
2022-04-20 13:54:35,3.0
2022-04-20 14:54:07,-14.0
2022-04-20 16:55:03,2.0
2022-04-20 17:55:35,-6.0
2022-04-21 23:04:10,2.0
2022-04-21 23:10:10,2.0
2022-04-21 23:14:24,2.0
2022-04-21 23:21:11,2.0
2022-04-21 23:26:24,2.0
2022-04-21 23:31:25,2.0
2022-04-21 23:34:24,2.0
2022-04-21 23:39:25,-6.0
2022-04-21 23:43:26,2.0
2022-04-21 23:47:25,-6.0
2022-04-21 23:56:25,2.0
2022-04-22 00:00:28,-6.0
2022-04-22 00:04:31,2.0
2022-04-22 00:08:31,2.0
2022-04-22 00:14:31,2.0
2022-04-22 00:18:32,2.0
2022-04-22 00:20:48,2.0
2022-04-22 00:27:42,-4.0
2022-04-22 00:33:42,4.0
2022-04-22 00:38:49,-13.0
2022-04-22 00:45:42,3.0
2022-04-22 01:09:43,5.0
2022-04-22 01:14:45,3.0
2022-04-22 01:19:21,5.0
2022-04-22 01:25:22,1.0
2022-04-22 01:30:47,2.0
2022-04-22 01:36:23,1.0
2022-04-22 01:41:50,-5.0
2022-04-22 01:46:23,1.0
2022-04-22 01:51:25,1.0
2022-04-22 01:54:50,-7.0
2022-04-22 02:00:50,1.0
2022-04-22 02:04:24,-13.0
2022-04-22 02:06:50,3.0
2022-04-22 02:11:24,3.0
2022-04-22 02:17:51,3.0
2022-04-22 02:20:22,3.0
2022-04-22 02:25:22,3.0
2022-04-22 02:30:55,-5.0
2022-04-22 02:36:21,3.0
2022-04-22 02:38:56,3.0
2022-04-22 02:43:57,3.0
2022-04-22 02:52:23,3.0
2022-04-22 02:55:58,3.0
2022-04-22 02:59:59,-12.0
2022-04-22 03:03:57,-4.0
2022-04-22 03:08:59,3.0
2022-04-22 03:11:24,3.0
2022-04-22 03:14:59,-13.0
2022-04-22 03:19:59,4.0
2022-04-22 03:26:02,2.0
2022-04-22 03:31:03,2.0
2022-04-22 03:32:23,7.0
2022-04-22 03:34:03,-6.0
2022-04-22 03:39:24,2.0
2022-04-22 03:44:03,2.0
2022-04-22 03:49:24,2.0
2022-04-22 03:54:04,2.0
2022-04-22 03:59:25,2.0
2022-04-22 04:06:04,2.0
2022-04-22 04:12:04,2.0
2022-04-22 04:17:47,2.0
2022-04-22 04:22:06,2.0
2022-04-22 04:26:10,2.0
2022-04-22 04:31:12,2.0
2022-04-22 04:37:47,2.0
2022-04-22 04:42:47,-4.0
2022-04-22 04:48:46,4.0
2022-04-22 04:53:13,4.0
2022-04-22 04:58:14,-12.0
2022-04-22 05:04:14,4.0
2022-04-22 05:10:14,4.0
2022-04-22 05:13:14,-12.0
2022-04-22 05:18:13,-6.0
2022-04-22 05:21:15,2.0
2022-04-22 05:26:18,2.0
2022-04-22 05:30:50,2.0
2022-04-22 05:35:49,2.0
2022-04-22 05:40:19,2.0
2022-04-22 05:44:19,2.0
2022-04-22 05:55:49,2.0
2022-04-22 06:01:19,2.0
2022-04-22 06:04:20,2.0
2022-04-22 06:11:19,2.0
2022-04-22 06:16:20,6.0
2022-04-22 06:18:36,6.0
2022-04-22 06:20:21,-11.0
2022-04-22 06:24:36,6.0
2022-04-22 08:25:28,-11.0
2022-04-22 08:30:30,6.0
2022-04-22 08:36:27,6.0
2022-04-22 08:41:28,-11.0
2022-04-22 08:42:42,6.0
2022-04-22 08:47:29,-3.0
2022-04-22 08:53:29,6.0
2022-04-22 08:55:43,6.0
2022-04-22 09:01:33,6.0
2022-04-22 09:08:42,-10.0
2022-04-22 09:11:42,-2.0
2022-04-22 09:16:44,-11.0
2022-04-22 09:20:50,5.0
2022-04-22 09:26:49,-3.0
2022-04-22 09:32:50,6.0
2022-04-22 09:37:50,-11.0
2022-04-22 09:43:50,5.0
2022-04-22 09:48:51,6.0
2022-04-25 03:38:56,-6.0
2022-04-25 03:43:56,2.0
2022-04-25 03:49:57,2.0
2022-04-25 03:52:57,7.0
2022-04-25 03:57:17,-1.0
2022-04-25 04:03:56,8.0
2022-04-25 04:17:24,8.0
2022-04-25 04:23:03,8.0
2022-04-25 04:26:04,9.0
2022-04-25 04:29:25,-8.0
2022-04-25 04:35:03,-8.0
2022-04-25 04:43:03,8.0
2022-04-25 04:47:04,-8.0
2022-04-25 04:50:05,-8.0
2022-04-25 04:55:04,8.0
2022-04-25 05:01:05,8.0
2022-04-25 05:06:27,-8.0
2022-04-25 05:12:29,8.0
2022-04-25 05:16:29,9.0
2022-04-25 05:22:10,1.0
2022-04-25 05:25:29,3.0
2022-04-25 05:31:11,4.0
2022-04-25 05:37:11,4.0
2022-04-25 05:42:11,4.0
