time,value
2022-08-16 15:27:45,44.0
2022-08-16 15:28:44,43.0
2022-08-16 15:29:45,42.0
2022-08-16 15:30:45,49.0
2022-08-16 15:31:44,53.0
2022-08-16 15:32:45,43.0
2022-08-16 15:33:45,55.0
2022-08-16 15:34:45,39.0
2022-08-16 15:35:44,41.0
2022-08-16 15:36:45,49.0
2022-08-16 15:37:44,36.0
2022-08-16 15:38:45,40.0
2022-08-16 15:39:45,46.0
2022-08-16 15:40:45,57.0
2022-08-16 15:41:45,57.0
2022-08-16 15:42:45,41.0
2022-08-16 15:43:45,47.0
2022-08-16 15:44:45,46.0
2022-08-16 15:45:45,34.0
2022-08-16 15:46:45,45.0
2022-08-16 15:47:44,40.0
2022-08-16 15:48:45,55.0
2022-08-16 15:49:45,48.0
2022-08-16 15:50:45,38.0
2022-08-16 15:51:44,37.0
2022-08-16 15:52:45,34.0
2022-08-16 15:53:45,41.0
2022-08-16 15:54:45,33.0
2022-08-16 15:55:45,44.0
2022-08-16 15:56:45,36.0
2022-08-16 15:57:45,37.0
2022-08-16 15:58:45,35.0
2022-08-16 15:59:45,41.0
2022-08-16 16:00:45,36.0
2022-08-16 16:01:45,33.0
2022-08-16 16:02:45,45.0
2022-08-16 16:03:45,49.0
2022-08-16 16:04:44,44.0
2022-08-16 16:05:45,38.0
2022-08-16 16:06:45,44.0
2022-08-16 16:07:45,39.0
2022-08-16 16:08:45,45.0
2022-08-16 16:09:45,42.0
2022-08-16 16:10:45,47.0
2022-08-16 16:11:45,61.0
2022-08-16 16:12:45,38.0
2022-08-16 16:13:45,40.0
2022-08-16 16:14:45,44.0
2022-08-16 16:15:45,37.0
2022-08-16 16:16:44,34.0
2022-08-16 16:17:45,41.0
2022-08-16 16:18:44,36.0
2022-08-16 16:19:44,46.0
2022-08-16 16:20:45,48.0
2022-08-16 16:21:45,46.0
2022-08-16 16:22:45,33.0
2022-08-16 16:23:44,38.0
2022-08-16 16:24:45,34.0
2022-08-16 16:25:44,37.0
2022-08-16 16:26:45,43.0
2022-08-16 16:27:45,35.0
2022-08-16 16:28:44,36.0
2022-08-16 16:29:45,36.0
2022-08-16 16:30:44,45.0
2022-08-16 16:31:45,35.0
2022-08-16 16:32:45,44.0
2022-08-16 16:33:45,41.0
2022-08-16 16:34:45,43.0
2022-08-16 16:35:45,40.0
2022-08-16 16:36:45,41.0
2022-08-16 16:37:45,41.0
2022-08-16 16:38:45,52.0
2022-08-16 16:39:45,51.0
2022-08-16 16:40:44,48.0
2022-08-16 16:41:44,40.0
2022-08-16 16:42:44,33.0
2022-08-16 16:43:45,41.0
2022-08-16 16:44:45,38.0
2022-08-16 16:45:45,43.0
2022-08-16 16:46:45,43.0
2022-08-16 16:47:45,49.0
2022-08-16 16:48:45,37.0
2022-08-16 16:49:44,49.0
2022-08-16 16:50:45,50.0
2022-08-16 16:51:45,34.0
2022-08-16 16:52:44,38.0
2022-08-16 16:53:45,30.0
2022-08-16 16:54:45,51.0
2022-08-16 16:55:45,45.0
2022-08-16 16:56:45,59.0
2022-08-16 16:57:45,38.0
2022-08-16 16:58:45,45.0
2022-08-16 16:59:44,44.0
2022-08-16 17:00:45,45.0
2022-08-16 17:01:45,42.0
2022-08-16 17:02:44,33.0
2022-08-16 17:03:45,33.0
2022-08-16 17:04:45,39.0
2022-08-16 17:05:45,44.0
2022-08-16 17:06:44,45.0
2022-08-16 17:07:45,44.0
2022-08-16 17:08:45,36.0
2022-08-16 17:09:45,50.0
2022-08-16 17:10:44,37.0
2022-08-16 17:11:45,46.0
2022-08-16 17:12:45,37.0
2022-08-16 17:13:45,46.0
2022-08-16 17:14:45,45.0
2022-08-16 17:15:45,44.0
2022-08-16 17:16:45,47.0
2022-08-16 17:17:45,37.0
2022-08-16 17:18:45,37.0
2022-08-16 17:19:45,47.0
2022-08-16 17:20:44,42.0
2022-08-16 17:21:45,33.0
2022-08-16 17:22:44,40.0
2022-08-16 17:23:45,31.0
2022-08-16 17:24:45,33.0
2022-08-16 17:25:44,47.0
2022-08-16 17:26:45,36.0
2022-08-16 17:27:44,52.0
2022-08-16 17:28:45,42.0
2022-08-16 17:29:45,45.0
2022-08-16 17:30:45,36.0
2022-08-16 17:31:44,42.0
2022-08-16 17:32:45,44.0
2022-08-16 17:33:45,49.0
2022-08-16 17:34:45,38.0
2022-08-16 17:35:44,40.0
2022-08-16 17:36:45,40.0
2022-08-16 17:37:45,50.0
2022-08-16 17:38:44,47.0
2022-08-16 17:39:45,38.0
2022-08-16 17:40:45,39.0
2022-08-16 17:41:45,31.0
2022-08-16 17:42:44,48.0
2022-08-16 17:43:45,50.0
2022-08-16 17:44:45,41.0
2022-08-16 17:45:45,41.0
2022-08-16 17:46:45,35.0
2022-08-16 17:47:45,39.0
2022-08-16 17:48:45,33.0
2022-08-16 17:49:45,35.0
2022-08-16 17:50:45,41.0
2022-08-16 17:51:45,28.0
2022-08-16 17:52:45,41.0
2022-08-16 17:53:45,35.0
2022-08-16 17:54:45,38.0
2022-08-16 17:55:45,25.0
2022-08-16 17:56:45,37.0
2022-08-16 17:57:45,45.0
2022-08-16 17:58:45,45.0
2022-08-16 17:59:45,46.0
2022-08-16 18:00:45,49.0
2022-08-16 18:01:45,50.0
2022-08-16 18:02:45,48.0
2022-08-16 18:03:45,39.0
2022-08-16 18:04:44,36.0
2022-08-16 18:05:45,55.0
2022-08-16 18:06:45,33.0
2022-08-16 18:07:44,54.0
2022-08-16 18:08:45,44.0
2022-08-16 18:09:45,51.0
2022-08-16 18:10:45,49.0
2022-08-16 18:11:45,40.0
2022-08-16 18:12:45,47.0
2022-08-16 18:13:45,49.0
2022-08-16 18:14:45,42.0
2022-08-16 18:15:44,40.0
2022-08-16 18:16:44,50.0
2022-08-16 18:17:45,52.0
2022-08-16 18:18:45,57.0
2022-08-16 18:19:45,57.0
2022-08-16 18:20:45,46.0
2022-08-16 18:21:45,47.0
2022-08-16 18:22:45,48.0
2022-08-16 18:23:45,31.0
2022-08-16 18:24:45,37.0
2022-08-16 18:25:45,49.0
2022-08-16 18:26:45,44.0
2022-08-16 18:27:44,50.0
2022-08-16 18:28:45,46.0
2022-08-16 18:29:45,45.0
2022-08-16 18:30:44,45.0
2022-08-16 18:31:45,48.0
2022-08-16 18:32:45,55.0
2022-08-16 18:33:45,66.0
2022-08-16 18:34:44,54.0
2022-08-16 18:35:45,50.0
2022-08-16 18:36:45,64.0
2022-08-16 18:37:45,47.0
2022-08-16 18:38:45,51.0
2022-08-16 18:39:45,40.0
2022-08-16 18:40:44,45.0
2022-08-16 18:41:44,49.0
2022-08-16 18:42:45,59.0
2022-08-16 18:43:45,46.0
2022-08-16 18:44:44,45.0
2022-08-16 18:45:45,56.0
2022-08-16 18:46:45,60.0
2022-08-16 18:47:45,42.0
2022-08-16 18:48:45,56.0
2022-08-16 18:49:45,49.0
2022-08-16 18:50:44,46.0
2022-08-16 18:51:45,66.0
2022-08-16 18:52:45,70.0
